,0,1,2,3,4,5,6,7
73,Acné ,Año: 2008,"País:: Argentina, España, México, Uruguay","Por iniciativa de su hermano mayor, a los 13 años, Rafael Bregman pierde la virginidad. Lo que no es tan fácil de obtener es el primer beso porque no sabe cómo acercarse a Nicole, la compañera de clase que le gusta. Entre los granos, su inseguridad, la inminente separación de sus padres y las obligaciones diarias, Rafael intenta sobrellevar ese difícil momento. El descubrimiento del amor parece ser la solución a sus problemas, pero no alcanza con los consejos de sus amigos. Será necesario superar la timidez y ganar confianza para obtener lo que más desea.",87,"Comedia, Drama","
Federico Veiroj ","
 Ana Julia Catalá, Igal Label, Alejandro Tocar, Verónica Perrotta, Belén Pouchan, Jenny Goldstein, Yoel Berovici, Néstor Guzzini, Gustavo Melnik "
74,Acorralados,Año: 2011,"País:: Argentina, España, Unidos Estados Unidos",Un decreto del gobierno de congelar todas las cuentas bancarias deja a un hombre acorralado. Sin opción decide idear una manera astuta para obtener su propio dinero para sobrevivir.,Video,Largometraje,Drama,"
Julio Bove "
75,Acosta Ñu,Año: 2008,País:: Paraguay,Seguinos en:,Largometraje,"
Ramón Ramoa Salcedo ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
76,ADAGIO,Año: 2014,País:: Argentina,"Tras la reciente muerte de su madre, Pascual, con 30 años, es internado en una residenciapsiquiátrica. Este nuevo espacio es sólo un lugar de paso para Pascual, porque vive en la certezade que Gerardo, su hermano mayor, va a venir a buscarlo. A medida que pasa el tiempo y lallegada de Gerardo se retrasa, Pascual comienza a rendirse al día a día de la residencia. En uno delos ejercicios terapéuticos, Pascual conoce a Leila, una veterana residente con la que iniciará unainocente y surrealista relación. Una serie de emociones nunca vividas anteriormente harán quePascual comience a dudar de que la residencia sea sólo un lugar de paso. ",2014,80,Largometraje,Drama
77,Adágio Sostenuto,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Pompeu Aguiar  ","
Paulo Coriolano ,             Pompeu Aguiar  ",
78,Adopción,Año: 2010,País:: Argentina,"Ricardo, que vive una relación homosexual feliz con su pareja, adopta a Juan, un chico nacidoen 1976. Si bien se integra al nuevo hogar, Juan continúa padeciendo los miedos de su pasado.Ricardo cree que su hijo debe conocer sus raíces e inicia la búsqueda de su identidad, descubriendoque la verdadera historia es diferente a la escrita en su legajo. Esta irá apareciendo como la puntadel iceberg en un mar helado.",71,Drama,"
David Lipszyc ",www.adopcion-elfilm.com.ar
79,After Shakespeare,Año: 2008,País:: Argentina,"Marta Paccamici, Mónica Gazpio, Alejandro Dover, Susana Ribo, Celeste Veleda,Fabián Bueno, Osvaldo Santoro, Osvaldo Tesser, Ricardo Cerone, Aleksandra Telezynska",60,Documental,"
Hans Garrino ","
Hans Garrino "
80,Agua y Sal,Año: 2009,"País:: Alemania, Argentina",Un pescador se embarca hacia alta mar en busca de unmejor futuro. Un hombre de negocios vuelve a casa con lanecesidad de cambiar su presente. Hay un hilo delgado que nos une a todos y hace que cada acto tenga consecuencias lejanas e inimaginables. Una película sobre dos hombres casi distintos.,95,Drama,"
Alejo Hernán Taube ",
81,Aguas Verdes,Año: 2008,País:: Argentina,"Alejandro Fiore, Milagros Gallo, Julieta Mora",100,Ficción,"
Mariano De Rosa  ","
Mariano De Rosa  "
82,Ainda Orangotangos,Año: 2008,País:: Brasil,"Karina Kazuê, Lindon Shimizu, Artur Jose Pinto, Kayodê Silva, Renata de Lélis, Nilsson Asp, Arlete Cunha, Letícia Bertagna, Roberto Oliveira, Marcelo de Paula, Girley Paes, Heinz Limaverde, Rafael Sieg, Juliana Spolidoro",85,Drama,"
Gustavo Spolidoro ","
Gibran Dipp,             Gustavo Spolidoro "
83,Aire de chacarera,Año: 2011,País:: Argentina,"Esta es la historia de una búsqueda para redescubrir el mundo de la chacarera santiagueña.Fernando comienza a buscar en los viejos amigos de Mario su historia y su música. Incluso lo llevara su  búsqueda a la tierra de donde Mario Arnedo Gallo vino, Santiago del Estero.Este viaje lo va a llevar al origen de la chacharera, a Salavina, las tierras donde dicen que nació la chacarera, ahí se va a encontrar con su propio origen y lo que elige heredar.",HD,Largometraje,Documental,"
Nicolás Tacconi "
84,Aire Libre,Año: 2014,País:: Argentina,"Lucía y Manuel ya no tienen deseos compartidos. Están casados, son padres de un niño de sieteaños. Lucía fantasea con otros hombres. Manuel siente que ella dejó de admirarlo y se derrumba.Sin embargo, la pasión de ambos por la arquitectura los une en el proyecto de construir unacasa con parque. Venden su departamento y se instalan en la casa de la mamá de Lucía. Perola vida con la familia de su mujer asfixia a Manuel, que decide tomarse un respiro y se refugiaen el hogar de sus padres. Comienzan a vivir separados. Se sienten adolescentes y se descubreninmaduros. Intentan satisfacer deseos personales y olvidan qué los unía",2014,95,Largometraje,Drama
85,Ajawaska,Año: 2013,País:: Argentina,"La chicha es una bebida alcohólica germinada del maíz. En la chichería se escucha de todoy pasa de todo. A partir de este espacio se van entretejiendo las vivencias de un viaje porPerú de tres extranjeras sudamericanas. El ritmo generado entre el carnaval, los ritos y lachicha introduce a cada espacio en su propia temporalidad",Video,Largometraje,Documental,"
Violeta Soto Valdes "
86,Al cielo o al infierno,Año: 2012,País:: Argentina,"El sofisticado encanto de Mercedes, la viuda, se ve perturbado debido a la extraña aparición espectral del finado Carlos, y de inesperados visitantes noctámbulos que develan, en el transcurso del velorio, la libertina vida del difunto en una región serrana de Córdoba durante los años treinta.",Video,Largometraje,Suspenso,"
Lauro Racosky "
87,Al fin del mundo,Año: 2013,"País:: Argentina, Canadá","En Tolhuin, un pueblito perdido en el extremo sur argentino adonde casi nadie va paraquedarse, donde el frío y el viento entran por todas las rendijas y la nieve llega a cubrir losalambrados, un hombre busca que la gente no se vaya a través de un nuevo intento: uncarnaval en pleno invierno. Este es un documental sobre los esfuerzos que hace el hombrepor adaptarse a un destino no siempre elegido. A un territorio que le resulta hostil y que loenfrenta a la naturaleza en su estado más puro y desenfrenado. Los habitantes de este parajecongelado, descubren cada día diversos y extraños modos de hacer frente a la adversidad ya sus fantasmas.",DCP,Largometraje,Documental,"
Franca González "
88,Al oeste del fin del mundo,Año: 2014,"País:: Argentina, Brasil","León es un ex combatiente argentino de la Guerra de Malvinas. Luego de la guerra se va a vivira Uspallata, al pie de la cordillera de Los Andes, para atender la descuidada estación de servicioque logra comprar. Allí pasa sus días en esporádica compañía de su amigo Silas aficionado a lasmotos. Ana, una joven brasilera, intenta llegar a Santiago de Chile para visitar a su familia luegode separarse de su esposo brasilero. Las cosas hacen que quede varada en Uspallata, dondeconocerá a León. El amor irá naciendo entre ellos, León podrá enfrentarse con su pasado, sanarlos vínculos rotos entre madre e hijo, y tener una nueva oportunidad en la vida",DCP,Largometraje,Drama,"
Paulo Nascimento "
89,Alas (pobre Jiménez),Año: 2008,País:: Argentina,"Jiménez es un oficinista dócil, trabajador, conformista, yhábil para su trabajo que nos cuenta el peor día de suvida. En un sistema que está preparado para que algunacosa salga mal, basado en la realidad de que curar es masbarato que prevenir, y en la especulación de que no todosaldrá mal al mismo tiempo, Jiménez sufre una larguisimaserie de contratiempos menores, que se acumulan hasta elridículo para convertirse en una verdadera pesadilla. Esteviaje lo enfrenta a su soledad, a la incomprensión, y porsobre todo a sus sueños, que finalmente componen el únicolugar hacia el que escapar, cuando la realidad ya no tienepuertas de salida.",66,Comedia Dramática,"
Ariel Martínez Herrera  ",
90,Albor,Año: 2010,País:: Argentina,"En el alba de aquel día, el Sol, la Luna y Sirio alzáronse sobre el horizonte en triangular alineación.Las solitarias vidas de un hombre y una mujer son el destino de aquello que sigilosamente comienzaa vibrar en la nostálgica soledad de la llanura. Una búsqueda que se inicia. Un enigma a develarse.Un camino hacia la Verdad.",Largometraje,"
Hugo Emmanuel Figueroa ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
91,Alea,Año: 2007,País:: Argentina,"Gabriel, es un médico forense que vivió en su adolescencia unos pocos años en Rosas, un pequeño pueblo a punto de desaparecer por falta de gente joven. Este será atraído al lugar con el pretexto de resolver un extraño crimen. Por sus cualidades personales y destrezas, descubrirá una serie de macabros sucesos y las verdaderas razones de su presencia allí.",80,Thriller,"
Martín Zarlenga ",
92,Alemão,Año: 2014,País:: Brasil,"Cinco policiais trabalham infiltrados no Complexo do Alemão, uma região que reúne diversas favelas no Rio de Janeiro. Desmascarados pelos traficantes, eles agora estão presos e aguardam que ou sejam executados ou resgatados pelas forças policiais, o que significaria a divulgação de uma missão clandestina realizada pela polícia militar.",109,Acción - Policial,"
José Eduardo Belmonte  ","
Caio Blat, Cauã Reymond, Milhem Cortaz, Antônio Fagundes, Otávio Müller, Gabriel Braga Nunes. "
93,Alfredo Li Gotti. Una pasión cinéfila,Año: 2010,País:: Argentina,"A sus 84 años, Alfredo Li Gotti es uno de los más importantes coleccionistas de cine de laArgentina. Con sacrificio, pudo alcanzar el sueño de tener una sala de cine en su propia casa. Enese espacio sorprendente, proyecta gratuitamente sus películas desde hace más de dos décadas.Mediante entrevistas, Roberto Gómez nos permite descubrir el fascinante mundo del coleccionismocinematográfico y conocer en profundidad la vida de Alfredo; una vida –cómo si no– de película,pero de ésas que trascienden la pantalla para adquirir un carácter universal, enteramente humano.",Largometraje,"
Roberto Ángel Gómez ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
